Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
trendingvideo,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
trending trend skincareroutine,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
trending trend beautytips,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
beauty tiktok trending,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
beautytips haircare,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
skincareroutine beauty tiktok,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
content,8,0.6428571428571428,0.14381080871160384,2,2025-10-13,2025-10-20,0.21428571428571427,-0.21428571428571427
skincareroutine totkay,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
skincareroutine totkay naturalbeauty,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
skincareroutine beauty,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
shortvideo motivation,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
shortvideo viral trending,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
shortvideo viral,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
shortvideo motivation womenshealth,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
say,8,0.6428571428571428,0.14381080871160384,2,2025-10-13,2025-10-20,0.21428571428571427,-0.21428571428571427
motivation womenshealth,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
motivation womenshealth trendingvideo,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
motivation,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
diybeauty glowingskin hairmask,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
play,11,0.6428571428571428,0.11688428685806594,3,2025-09-15,2025-10-20,0.18557687223952257,-0.18557687223952257
naturalbeauty hairtreatment diybeauty,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
naturalbeauty hairtreatment,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
naturalbeauty,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
diybeauty glowingskin,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
diybeauty,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
line,8,0.6428571428571428,0.14381080871160384,2,2025-10-13,2025-10-20,0.21428571428571427,-0.21428571428571427
haircare skincareroutine totkay,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
glowingskin,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
makeuptutorial,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
makeup look,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
glowingskin hairmask,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
haircare skincareroutine,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
hairtreatment diybeauty,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
hairtreatment,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
health,10,0.6428571428571428,0.29410651381143094,2,2025-09-08,2025-10-20,0.1938287215142766,-0.1938287215142766
glowingskin hairmask hairfallsolution,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
inspired,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
hairtreatment diybeauty glowingskin,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
hairmask hairfallsolution,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
health care tips,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
health care,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
hairmask,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
hairfallsolution,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
womenshealth trendingvideo beautytrends,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
womenshealth trendingvideo,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
womenshealth,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
according,8,0.6428571428571428,0.14381080871160384,2,2025-10-13,2025-10-20,0.21428571428571427,-0.21428571428571427
rest,8,0.6071428571428572,0.25029350536784783,2,2025-10-13,2025-10-20,0.2023809523809524,-0.2023809523809524
