Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
figure img height,27,2.892857142857143,0.14381080871160384,1,2025-11-24,2025-11-24,0.5466986127454894,-0.5466986127454894,0.5466986127454894
figure img src,27,2.892857142857143,0.14381080871160384,1,2025-11-24,2025-11-24,0.5466986127454894,-0.5466986127454894,0.5466986127454894
gifts,27,2.892857142857143,0.14381080871160384,1,2025-11-24,2025-11-24,0.5466986127454894,-0.5466986127454894,0.5466986127454894
img height,27,2.892857142857143,0.14381080871160384,1,2025-11-24,2025-11-24,0.5466986127454894,-0.5466986127454894,0.5466986127454894
img height src,27,2.892857142857143,0.14381080871160384,1,2025-11-24,2025-11-24,0.5466986127454894,-0.5466986127454894,0.5466986127454894
img src,27,2.892857142857143,0.14381080871160384,1,2025-11-24,2025-11-24,0.5466986127454894,-0.5466986127454894,0.5466986127454894
perfume,27,2.892857142857143,0.14381080871160384,1,2025-11-24,2025-11-24,0.5466986127454894,-0.5466986127454894,0.5466986127454894
love,27,2.8571428571428568,0.12808737515895124,2,2025-11-17,2025-11-24,0.5399492471560388,-0.5399492471560388,0.5399492471560388
december,26,2.7857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.5361109642475096,-0.5361109642475096,0.5361109642475096
img src figure,26,2.7857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.5361109642475096,-0.5361109642475096,0.5361109642475096
plus,26,2.7857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.5361109642475096,-0.5361109642475096,0.5361109642475096
src figure,26,2.7857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.5361109642475096,-0.5361109642475096,0.5361109642475096
scent,27,2.821428571428571,0.11276611363972046,2,2025-11-17,2025-11-24,0.5331998815665884,-0.5331998815665884,0.5331998815665884
figcaption figure,25,2.6785714285714284,0.14381080871160384,1,2025-11-24,2025-11-24,0.5253110762629929,-0.5253110762629929,0.5253110762629929
makeup trend,41,3.392857142857143,0.10953619866666299,5,2025-10-20,2025-11-24,0.523529223085669,-0.523529223085669,0.523529223085669
holiday,30,2.8571428571428568,0.08036029793197252,3,2025-11-10,2025-11-24,0.5131580057907854,-0.5131580057907854,0.5131580057907854
look,44,3.4285714285714284,0.06308462176368783,5,2025-10-27,2025-11-24,0.5111012519999518,-0.5111012519999518,0.5111012519999518
hands,21,2.25,0.14381080871160384,1,2025-11-24,2025-11-24,0.47970161180012344,-0.47970161180012344,0.47970161180012344
beauty trend,62,3.714285714285714,0.02960910102094311,6,2025-10-20,2025-11-24,0.4679560142019003,-0.4679560142019003,0.4679560142019003
brand,20,2.142857142857143,0.14381080871160368,1,2025-11-24,2025-11-24,0.46760976479141225,-0.46760976479141225,0.46760976479141225
cream,20,2.142857142857143,0.14381080871160368,1,2025-11-24,2025-11-24,0.46760976479141225,-0.46760976479141225,0.46760976479141225
sweet,20,2.142857142857143,0.14381080871160368,1,2025-11-24,2025-11-24,0.46760976479141225,-0.46760976479141225,0.46760976479141225
shorts,20,2.107142857142857,0.1226678570516958,2,2025-11-17,2025-11-24,0.4598162687115554,-0.4598162687115554,0.4598162687115554
just,25,2.321428571428571,0.11574741756653177,3,2025-11-03,2025-11-24,0.4552695994279272,-0.4552695994279272,0.4552695994279272
