Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
medium people,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
medium people continuing,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
originally,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
originally published,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
originally published collective,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
people continuing,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
people continuing conversation,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
published collective,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
published collective medium,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
responding,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
responding story,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
step,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
best,7,0.6428571428571428,0.03009924789746256,2,2026-08-03,2026-08-10,0.22728432252424738,-0.22728432252424738,0.22728432252424738
source,7,0.6428571428571428,0.03009924789746256,2,2026-08-03,2026-08-10,0.22728432252424738,-0.22728432252424738,0.22728432252424738
box,11,0.7857142857142857,0.10687218910574994,3,2026-07-27,2026-08-10,0.2268161771816387,-0.2268161771816387,0.2268161771816387
makes,11,0.7857142857142857,0.09480847741836994,4,2026-07-13,2026-08-10,0.2268161771816387,-0.2268161771816387,0.2268161771816387
act,8,0.6785714285714285,0.00999622288386693,3,2026-07-27,2026-08-10,0.22619047619047616,-0.22619047619047616,0.22619047619047616
looking,8,0.6785714285714285,0.06795026336788815,2,2026-08-03,2026-08-10,0.22619047619047616,-0.22619047619047616,0.22619047619047616
book,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
design photoshop,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
design tutorial,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
feels,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
gives,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
